Group,ATZ,D,ME,DT,ATZT,MET,DS,ATZS,MES,DBCF,ATZBCF,METBCF,Weight,SA,TotT,TotBCF,Totalsoil,AppRate
ATZME,1,0,1,NA,23.94075151,18.90724611,NA,29.88147648,33.82799879,NA,0.801190381,0.558922986,2.0979,1.736904716,42.84799762,1.360113367,63.70947527,54.5
ATZME,1,0,1,NA,20.57274567,6.907670877,NA,32.42308149,35.78694793,NA,0.634509267,0.193022073,1.8523,1.616097145,27.48041655,0.82753134,68.21002942,54.5
ATZME,1,0,1,NA,1.22063448,0.149639783,NA,24.54042533,25.64856949,NA,0.049739744,0.005834235,1.8649,1.622453161,1.370274263,0.055573979,50.18899481,54.5
ATZME,1,0,1,NA,40.42981243,20.39940997,NA,27.24279867,27.95381012,NA,1.484055031,0.729754187,2.4907,1.918371472,60.8292224,2.213809218,55.19660879,54.5
ATZME,1,0,1,NA,20.35015638,12.43368085,NA,28.25567985,29.16252267,NA,0.720214714,0.426358206,1.8136,1.596460353,32.78383723,1.14657292,57.41820252,54.5
ATZME,1,0,1,NA,10.6958582,1.776787088,NA,27.84221841,29.09195635,NA,0.384159698,0.061074857,2.7419,2.028123924,12.47264529,0.445234555,56.93417476,54.5
MED,0,1,1,0.078111813,NA,5.026680818,0.464765188,NA,21.88679166,0.168067262,NA,0.229667322,2.2984,1.831167344,5.10479263,0.397734584,22.35155684,45.2
MED,0,1,1,0.02218048,NA,1.337994897,0.400368972,NA,26.90078726,0.055400097,NA,0.049738132,1.5863,1.477357862,1.360175377,0.105138229,27.30115624,45.2
MED,0,1,1,0.036982547,NA,1.761326684,0.398558198,NA,28.22946491,0.092790833,NA,0.062393201,1.8205,1.599974314,1.798309232,0.155184035,28.6280231,45.2
MED,0,1,1,0.080271609,NA,0.724555439,0.310828143,NA,20.64403773,0.258250775,NA,0.035097564,1.6197,1.495289308,0.804827048,0.293348339,20.95486587,45.2
MED,0,1,1,0.050444413,NA,0.662223621,0.269266538,NA,27.4451635,0.187340073,NA,0.024128973,0.9634,1.1068446,0.712668034,0.211469046,27.71443003,45.2
MED,0,1,1,0.086351225,NA,0.508831642,0.268444446,NA,23.036038,0.321672608,NA,0.022088505,2.2634,1.814969805,0.595182867,0.343761113,23.30448244,45.2
AMED,1,1,1,0.104347435,24.80672939,7.203617706,2.060160249,31.60985127,38.68144636,0.050650154,0.784778428,0.186229275,0.9971,1.129099777,32.11469453,1.021657857,72.35145788,68.8
AMED,1,1,1,0.262662032,17.23251263,11.13214931,0.364100418,23.34517258,31.7884637,0.721399972,0.738161715,0.350194631,2.0136,1.69614544,28.62732397,1.809756318,55.4977367,68.8
AMED,1,1,1,0.156953688,23.76512465,9.950841611,0.196000747,38.56860456,41.979559,0.800781069,0.616177975,0.237040165,1.7687,1.573455166,33.87291995,1.653999209,80.74416431,68.8
AMED,1,1,1,0.165951211,32.23101361,10.44074438,0.545837075,24.52551445,28.58488942,0.304030669,1.314182978,0.365253971,1.6929,1.534052174,42.8377092,1.983467618,53.65624094,68.8
AMED,1,1,1,0.38456094,3.945905477,16.86405718,1.691436329,35.8819455,35.85513489,0.227357621,0.109969106,0.47033869,2.2402,1.804174989,21.19452359,0.807665418,73.42851672,68.8
AMED,1,1,1,0.076429258,72.62672175,0.931411968,0.214004758,20.57289632,22.2331201,0.357138125,3.530213764,0.041892994,2.7643,2.037700821,73.63456298,3.929244882,43.02002118,68.8
