Group,ATZ,MA,PROP,ATZT,MAT,PROPT,ATZS,MAS,PROPS,ATZBCF,MABCF,PROPBCF,Weight,SA,TotalT,TotalBCF,Totalsoil,AppRate,KOC,KOW
ATZMA,1,1,0,7.289789952,0.188357852,,14.02436294,13.996472,,0.51979473,0.013457524,,1.9827,1.947076892,7.478147803,0.533252254,28.02083494,49.5,,
ATZPZ,1,0,1,13.26923261,,1.481646981,10.7413345,,1.691527517,1.235343021,,0.875922482,3.5113,2.710798464,14.75087959,2.111265503,12.43286202,26.2,,
ATZPZ,1,0,1,6.459787124,,0.314333427,14.16492267,,2.382033269,0.456041115,,0.131960133,3.0233,2.485821477,6.774120551,0.588001248,16.54695593,26.2,,
ATZPZ,1,0,1,20.27148844,,1.438248563,11.30487955,,1.894795833,1.793162709,,0.759051998,2.8777,2.415787056,21.709737,2.552214707,13.19967538,26.2,,
ATZPZ,1,0,1,5.347041009,,0.177311228,13.26294821,,2.649912975,0.403156291,,0.066912095,3.4314,2.674910192,5.524352237,0.470068386,15.91286118,26.2,,
ATZPZ,1,0,1,6.616713054,,0.759930247,9.800334422,,1.726407016,0.675151762,,0.440180235,1.6593,1.756336878,7.376643301,1.115331998,11.52674144,26.2,,
ATZPZ,1,0,1,3.641157326,,0.205578453,11.14345791,,1.776310953,0.326752912,,0.11573337,2.2353,2.087068649,3.84673578,0.442486283,12.91976887,26.2,,
MAPZ,0,1,1,,1.410094829,0.618946465,,3.984319641,0.912393334,,0.35391107,0.678376794,2.1656,2.049137486,2.029041295,1.032287865,4.896712975,28.5,,
MAPZ,0,1,1,,0.279045154,0.277662174,,11.04586081,1.596897761,,0.025262418,0.173875987,2.0876,2.006074583,0.556707328,0.199138405,12.64275857,28.5,,
MAPZ,0,1,1,,0.699286298,0.305997543,,13.9283524,2.199030193,,0.05020596,0.139151133,2.3087,2.12647891,1.005283841,0.189357093,16.12738259,28.5,,
MAPZ,0,1,1,,0.252248141,0.251331918,,11.31467303,1.714418038,,0.022293896,0.14659897,1.822,1.854081427,0.503580059,0.168892865,13.02909107,28.5,,
MAPZ,0,1,1,,1.896347283,0.723961607,,9.618777499,2.031949048,,0.197150551,0.356289252,4.0141,2.929198859,2.62030889,0.553439803,11.65072655,28.5,,
MAPZ,0,1,1,,0.432463641,0.328610724,,13.21693663,2.249579494,,0.032720414,0.146076511,1.7896,1.834919445,0.761074365,0.178796925,15.46651612,28.5,,
AMAP,1,1,1,4.144203168,13.42028218,1.951847538,5.557614515,5.437493668,1.022306607,0.745680212,2.468100746,1.90925846,1.8822,1.889308054,19.51633288,5.123039417,12.01741479,52.1,,
AMAP,1,1,1,3.846909215,1.067061599,0.826026215,9.3824592,12.54734474,1.908621872,0.410010759,0.085042822,0.432786728,1.3043,1.527829407,5.739997029,0.927840308,23.83842581,52.1,,
AMAP,1,1,1,21.59188167,0.465758248,0.729029923,15.29643396,19.62375481,2.576560951,1.411563095,0.02373441,0.282946896,1.4277,1.609926671,22.78666985,1.718244402,37.49674972,52.1,,
AMAP,1,1,1,7.680368996,3.417440919,2.330295203,8.908539646,10.45576392,1.635051116,0.86213558,0.326847559,1.425212448,1.7623,1.818660037,13.42810512,2.614195587,20.99935468,52.1,,
AMAP,1,1,1,12.22164293,0.146541193,0.423424017,19.95381742,25.70127,3.663718819,0.61249648,0.00570171,0.115572192,2.6348,2.295536421,12.79160813,0.733770382,49.31880623,52.1,,
AMAP,1,1,1,17.55825611,2.513366509,1.269632524,10.09561301,11.83207768,1.626713737,1.739196628,0.21241971,0.780489213,1.7856,1.832543676,21.34125514,2.732105551,23.55440443,52.1,,
